link;name;location;company;date
https://rabota.sber.ru/search/4179823;Product Owner (DWH/Greenplum);г Москва;ПАО Сбербанк;05 июля 2023
https://rabota.sber.ru/search/4202484;Java developer;г Санкт-Петербург;ПАО Сбербанк;25 сентября 2023
https://rabota.sber.ru/search/4138043;Руководитель направления центра DPO;г Москва;ПАО Сбербанк;26 сентября 2023
https://rabota.sber.ru/search/4187088;Team Lead ETL;г Москва;ПАО Сбербанк;18 июля 2023
https://rabota.sber.ru/search/4210706;Product owner DMP (Рекламная платформа);г Москва;ПАО Сбербанк;19 сентября 2023
https://rabota.sber.ru/search/4210829;Руководитель направления «Синергия B2B2C»;г Санкт-Петербург;ПАО Сбербанк;19 сентября 2023
https://rabota.sber.ru/search/4210706;Product owner DMP (Рекламная платформа);г Москва;ПАО Сбербанк;19 сентября 2023
https://rabota.sber.ru/search/4194991;Руководитель команды по цифровой трансформации клиентов корпоративного бизнеса;г Новосибирск, Новосибирская область;ПАО Сбербанк;15 сентября 2023
https://rabota.sber.ru/search/4186479;middle java developer;г Москва;ПАО Сбербанк;10 июля 2023
https://rabota.sber.ru/search/4212223;Python разработчик;г Москва;ПАО Сбербанк;22 сентября 2023
https://rabota.sber.ru/search/4200112;Главный инженер по разработке (java);г Москва;ПАО Сбербанк;17 августа 2023
https://rabota.sber.ru/search/4198593;Senior/TeamLead Java developer;г Нижний Новгород, Нижегородская область;ПАО Сбербанк;12 сентября 2023
https://rabota.sber.ru/search/4196789;Senior Java разработчик (ЦАРС);г Москва;ПАО Сбербанк;07 сентября 2023
https://rabota.sber.ru/search/4196973;TeamLead/ Senior Python Developer;г Самара, Самарская область;ПАО Сбербанк;15 сентября 2023
https://rabota.sber.ru/search/4175298;data engineer (scala);г Москва;ПАО Сбербанк;31 июля 2023
https://rabota.sber.ru/search/4147151;Senior Java Developer;г Москва;ООО СК Сбербанк страхование жизни;16 мая 2023
https://rabota.sber.ru/search/4196745;Руководитель направления кампаний продаж в digital-каналах;г Москва;ПАО Сбербанк;25 сентября 2023
https://rabota.sber.ru/search/4177771;Системный аналитик (ETL инструменты);г Москва;ПАО Сбербанк;18 сентября 2023
https://rabota.sber.ru/search/4212717;Главный специалист аналитического управления (Data Analyst);г Санкт-Петербург;ПАО Сбербанк;25 сентября 2023
https://rabota.sber.ru/search/4182027;Java-разработчик в команду Управление системой мониторинга;г Екатеринбург, Свердловская область;ПАО Сбербанк;25 сентября 2023
https://rabota.sber.ru/search/4201889;Ведущий аналитик данных;г Москва;ПАО Сбербанк;26 сентября 2023
https://rabota.sber.ru/search/4196963;Team Lead Python;г Москва;ПАО Сбербанк;09 августа 2023
https://rabota.sber.ru/search/4159756;Middle разработчик Python;г Москва;ПАО Сбербанк;26 июля 2023
https://rabota.sber.ru/search/4199311;Ведущий разработчик Python (senior) / Team Lead;г Санкт-Петербург;ПАО Сбербанк;28 сентября 2023
https://rabota.sber.ru/search/4196719;Главный аналитик SberOS;г Москва;ПАО Сбербанк;12 сентября 2023
https://rabota.sber.ru/search/4198841;Backend developer (java/scala);г Москва;ПАО Сбербанк;15 августа 2023
https://rabota.sber.ru/search/4158772;Data Engineer на проект Data Lake;г Москва;ПАО Сбербанк;04 сентября 2023
https://rabota.sber.ru/search/4205462;Senior Android разработчик (ИСУ);г Москва;ПАО Сбербанк;13 сентября 2023
https://rabota.sber.ru/search/4186607;Java (Scala);г Санкт-Петербург;ПАО Сбербанк;08 августа 2023
https://rabota.sber.ru/search/4201476;L3 Support Engineer;г Москва;АО Сбербанк-Технологии;11 сентября 2023
https://rabota.sber.ru/search/4185870;Старший дизайнер / Дизайнер в лабораторию нейронаук и поведения человека Сбера;г Москва;ПАО Сбербанк;11 июля 2023
https://rabota.sber.ru/search/4207389;Системный аналитик (Сбер.Инвест);г Москва;ПАО Сбербанк;07 сентября 2023
